AREA_NAME,AREA_SHORT_CODE,INT_ID
Don Valley East,16,13449013
Don Valley East,16,13453431
Scarborough North,23,13441926
Scarborough Centre,21,13451212
Scarborough North,23,13443617
Scarborough North,23,13441801
Scarborough-Agincourt,22,13445899
Don Valley North,17,13445899
Don Valley East,16,13448397
Don Valley East,16,13447991
Scarborough Centre,21,13451412
Don Valley East,16,13451412
Don Valley West,15,13455296
Don Valley East,16,13455296
Don Valley East,16,13448168
Toronto-Danforth,14,13458943
Don Valley West,15,13456228
Don Valley East,16,13454752
Toronto-Danforth,14,13463478
Scarborough-Agincourt,22,13446075
Scarborough North,23,13442866
Don Valley West,15,13456414
Don Valley East,16,13456414
Don Valley East,16,13454893
Scarborough-Agincourt,22,13446996
Don Valley North,17,13446996
Scarborough-Agincourt,22,13446551
Don Valley North,17,13446551
Toronto-Danforth,14,13464177
Don Valley West,15,13455899
Scarborough-Agincourt,22,13446373
Don Valley East,16,13452372
Don Valley West,15,13457237
Don Valley East,16,13449541
Scarborough North,23,13441995
Toronto-Danforth,14,13465231
Scarborough-Agincourt,22,13444601
University-Rosedale,11,13464674
Scarborough North,23,13442643
Scarborough North,23,13441734
Scarborough North,23,13441674
Scarborough-Agincourt,22,13444019
Toronto-Danforth,14,13459249
Scarborough North,23,13441635
Scarborough-Agincourt,22,13443562
Toronto Centre,13,13465795
Scarborough North,23,13443046
Scarborough-Agincourt,22,13443046
Toronto-Danforth,14,13459931
Scarborough-Agincourt,22,13442651
Parkdale-High Park,4,13465550
Toronto Centre,13,13466312
Don Valley North,17,13446581
Toronto Centre,13,13466516
Toronto Centre,13,13466241
Don Valley East,16,13448536
University-Rosedale,11,13462724
Eglinton-Lawrence,8,13454398
Toronto Centre,13,13464403
Don Valley West,15,13448770
Toronto-Danforth,14,13460600
Don Valley West,15,13452717
Don Valley East,16,13452717
Toronto Centre,13,13466482
Don Valley West,15,13452469
Scarborough North,23,13441649
Scarborough-Agincourt,22,13442867
Eglinton-Lawrence,8,13456838
Etobicoke Centre,2,13464425
Toronto Centre,13,13464096
Scarborough-Agincourt,22,13443837
Toronto Centre,13,13466150
Toronto Centre,13,13464912
Davenport,9,13462285
York Centre,6,13453281
Scarborough-Agincourt,22,13442033
Toronto Centre,13,13467011
Spadina-Fort York,10,13467011
Scarborough-Agincourt,22,13441903
University-Rosedale,11,13463030
University-Rosedale,11,13462162
Don Valley West,15,13449822
Don Valley East,16,13449822
University-Rosedale,11,13459852
University-Rosedale,11,13462552
Scarborough North,23,13441919
Scarborough-Agincourt,22,13441919
Don Valley North,17,13444966
Don Valley West,15,13457532
Don Valley West,15,13456348
Scarborough-Agincourt,22,13444158
Scarborough-Agincourt,22,13444318
Don Valley North,17,13444318
Davenport,9,13463664
Toronto-St. Paul's,12,13461271
University-Rosedale,11,13463585
Davenport,9,13463585
Scarborough North,23,13441740
Scarborough-Agincourt,22,13441740
Don Valley West,15,13458625
Davenport,9,13461950
Spadina-Fort York,10,13467722
Scarborough-Agincourt,22,13442003
Don Valley West,15,13457650
Etobicoke-Lakeshore,3,13468745
Toronto-St. Paul's,12,13462648
Don Valley West,15,13458404
Toronto-St. Paul's,12,13458404
Toronto-St. Paul's,12,13462422
Toronto-St. Paul's,12,13460587
Davenport,9,13460587
Don Valley West,15,13450611
Don Valley North,17,13442279
Scarborough-Agincourt,22,13443090
Don Valley North,17,13443090
Davenport,9,13463350
Parkdale-High Park,4,13468374
Spadina-Fort York,10,13468374
Etobicoke-Lakeshore,3,13470353
Etobicoke-Lakeshore,3,13465689
Etobicoke Centre,2,13465689
Toronto Centre,13,13465784
Scarborough-Agincourt,22,13442179
Don Valley North,17,13442179
Spadina-Fort York,10,13468053
Don Valley North,17,13444423
Don Valley North,17,13442528
Toronto-St. Paul's,12,13457359
Eglinton-Lawrence,8,13457359
Davenport,9,13463516
Etobicoke-Lakeshore,3,13470120
York South-Weston,5,13463893
Don Valley North,17,13444761
Davenport,9,13462582
Toronto-St. Paul's,12,13457449
Eglinton-Lawrence,8,13457449
Don Valley West,15,13457453
Toronto-St. Paul's,12,13457453
Don Valley West,15,13456819
Toronto-St. Paul's,12,13456819
Parkdale-High Park,4,13465319
Scarborough North,23,14248958
Davenport,9,13466425
Spadina-Fort York,10,13467715
Parkdale-High Park,4,13467983
Davenport,9,13467983
Spadina-Fort York,10,13467983
Etobicoke Centre,2,13466818
York South-Weston,5,13463871
Toronto-St. Paul's,12,13460901
Davenport,9,13460901
Parkdale-High Park,4,13464451
Davenport,9,13463080
Davenport,9,13466826
Etobicoke-Lakeshore,3,13469508
Don Valley West,15,13458104
Toronto-St. Paul's,12,13458104
Toronto-St. Paul's,12,13456902
Don Valley North,17,13442682
York South-Weston,5,13461687
Davenport,9,13464191
Willowdale,18,13445452
Don Valley North,17,13445452
Parkdale-High Park,4,13468436
York South-Weston,5,13463232
Parkdale-High Park,4,13464510
York South-Weston,5,13464510
Toronto-St. Paul's,12,13460576
Don Valley West,15,13451068
Don Valley West,15,13449877
Eglinton-Lawrence,8,13454662
Toronto-St. Paul's,12,13457863
Eglinton-Lawrence,8,13457863
Parkdale-High Park,4,13464592
Parkdale-High Park,4,13464406
York South-Weston,5,13464406
Toronto-St. Paul's,12,13459836
Parkdale-High Park,4,13468605
Davenport,9,13464092
Eglinton-Lawrence,8,13452678
Don Valley West,15,13448880
Parkdale-High Park,4,13464461
Davenport,9,13461384
Etobicoke Centre,2,13464483
Eglinton-Lawrence,8,13451789
Parkdale-High Park,4,13464438
Willowdale,18,13445882
Humber River-Black Creek,7,13450799
York South-Weston,5,13464218
Eglinton-Lawrence,8,13453533
Parkdale-High Park,4,13464439
Etobicoke-Lakeshore,3,13469783
Toronto-St. Paul's,12,13458084
Eglinton-Lawrence,8,13458084
Toronto-St. Paul's,12,13459036
Eglinton-Lawrence,8,13459036
Davenport,9,13459036
Willowdale,18,13443870
Eglinton-Lawrence,8,13457667
Willowdale,18,13443242
Don Valley North,17,13443242
York South-Weston,5,13461228
University-Rosedale,11,13466116
Davenport,9,13466116
Davenport,9,13461619
York South-Weston,5,13461619
Eglinton-Lawrence,8,13452017
Eglinton-Lawrence,8,13456031
Eglinton-Lawrence,8,13455135
Eglinton-Lawrence,8,13457350
Parkdale-High Park,4,13468486
Parkdale-High Park,4,13465772
Willowdale,18,13445047
Toronto-St. Paul's,12,13457799
Eglinton-Lawrence,8,13457799
Don Valley North,17,13442747
Eglinton-Lawrence,8,13457395
York South-Weston,5,13462567
Eglinton-Lawrence,8,13455028
Willowdale,18,13446584
York South-Weston,5,13461587
York Centre,6,13452437
Etobicoke-Lakeshore,3,13466915
Etobicoke Centre,2,13466915
York South-Weston,5,13461263
Etobicoke-Lakeshore,3,13470130
York South-Weston,5,13459347
Eglinton-Lawrence,8,13456244
Etobicoke-Lakeshore,3,13469914
Willowdale,18,13445250
Toronto-St. Paul's,12,13458706
Eglinton-Lawrence,8,13458706
Etobicoke Centre,2,13461007
Eglinton-Lawrence,8,13456468
York South-Weston,5,13460216
Eglinton-Lawrence,8,13454491
Etobicoke-Lakeshore,3,13469211
York South-Weston,5,13457330
York Centre,6,13449607
York South-Weston,5,13460119
York South-Weston,5,13460757
York Centre,6,13446031
Willowdale,18,13446031
Etobicoke Centre,2,13461680
York South-Weston,5,13458238
Eglinton-Lawrence,8,13454748
Etobicoke-Lakeshore,3,13469800
Eglinton-Lawrence,8,13455455
York South-Weston,5,13456692
York Centre,6,13444801
Willowdale,18,13444801
Etobicoke-Lakeshore,3,13470261
York South-Weston,5,13459968
York Centre,6,13444609
Willowdale,18,13444609
York South-Weston,5,13456952
Etobicoke-Lakeshore,3,13470006
Etobicoke-Lakeshore,3,13469998
Etobicoke-Lakeshore,3,13470147
York South-Weston,5,13458367
York Centre,6,13453983
Humber River-Black Creek,7,13455040
York Centre,6,13455040
York South-Weston,5,13457965
Etobicoke Centre,2,13460207
York South-Weston,5,13457985
Scarborough-Guildwood,24,13449936
York Centre,6,13450069
Etobicoke-Lakeshore,3,13470350
York Centre,6,13446970
Willowdale,18,13446970
Etobicoke-Lakeshore,3,13470610
York Centre,6,13445306
Etobicoke North,1,13459022
Etobicoke Centre,2,13459022
Etobicoke-Lakeshore,3,13469743
Etobicoke-Lakeshore,3,13468751
Etobicoke Centre,2,13468751
York Centre,6,13454050
Etobicoke-Lakeshore,3,13470438
York Centre,6,13447779
York Centre,6,13453125
Etobicoke Centre,2,13465491
Etobicoke North,1,13458327
Etobicoke Centre,2,13458327
Don Valley West,15,13458913
Etobicoke Centre,2,13459156
York South-Weston,5,13457027
Etobicoke North,1,13458463
Etobicoke Centre,2,13458463
Etobicoke Centre,2,13461140
Etobicoke-Lakeshore,3,13470082
Etobicoke-Lakeshore,3,13469458
Etobicoke Centre,2,13469458
Etobicoke Centre,2,13467918
Etobicoke Centre,2,13462349
Scarborough Southwest,20,13454488
Humber River-Black Creek,7,13455580
Humber River-Black Creek,7,13446042
York Centre,6,13446042
York Centre,6,13446837
York Centre,6,13451388
Humber River-Black Creek,7,13449857
York Centre,6,13449857
Humber River-Black Creek,7,13449373
York Centre,6,14646572
Etobicoke North,1,13457759
Humber River-Black Creek,7,13448814
Etobicoke Centre,2,13464505
Humber River-Black Creek,7,13449500
Humber River-Black Creek,7,13453198
Humber River-Black Creek,7,13452283
York Centre,6,13452283
Spadina-Fort York,10,13467204
Humber River-Black Creek,7,13452693
Humber River-Black Creek,7,13449708
Etobicoke North,1,13459576
Etobicoke Centre,2,13459576
Etobicoke Centre,2,13469240
Humber River-Black Creek,7,13451305
Etobicoke North,1,13451305
Humber River-Black Creek,7,13448840
Humber River-Black Creek,7,13453059
Humber River-Black Creek,7,13447218
Etobicoke North,1,13454154
Humber River-Black Creek,7,13447070
Etobicoke North,1,13456668
Humber River-Black Creek,7,13446896
Humber River-Black Creek,7,13450142
Humber River-Black Creek,7,13447223
Humber River-Black Creek,7,13450342
Etobicoke North,1,13461594
Etobicoke Centre,2,13461594
Humber River-Black Creek,7,13449359
Etobicoke North,1,13456327
Etobicoke Centre,2,13465185
Humber River-Black Creek,7,13447719
Etobicoke North,1,13460801
Etobicoke North,1,13451819
Humber River-Black Creek,7,13447608
Etobicoke North,1,13461025
Etobicoke North,1,13452977
Etobicoke North,1,13458741
Etobicoke North,1,13452853
Etobicoke North,1,13453882
Etobicoke North,1,13452362
Etobicoke North,1,13458987
Etobicoke North,1,13452733
Etobicoke North,1,13452171
Etobicoke North,1,13452047
Etobicoke North,1,13454453
Etobicoke-Lakeshore,3,13466992
Humber River-Black Creek,7,13448601
Etobicoke North,1,13453590
Etobicoke North,1,13449294
Etobicoke-Lakeshore,3,13469987
York South-Weston,5,13457037
Etobicoke North,1,13450421
Scarborough North,23,13442563
Scarborough-Rouge Park,25,13444174
Etobicoke North,1,13451252
Don Valley West,15,13453535
Etobicoke North,1,13457971
Humber River-Black Creek,7,13447351
Willowdale,18,13448501
Don Valley North,17,13443581
Etobicoke-Lakeshore,3,13469464
Etobicoke North,1,13454339
Eglinton-Lawrence,8,13457821
Etobicoke North,1,13458841
Etobicoke Centre,2,13458841
Parkdale-High Park,4,13467143
Scarborough North,23,13443040
Etobicoke-Lakeshore,3,13469870
Scarborough North,23,13444405
Scarborough-Guildwood,24,13446997
York South-Weston,5,13460444
Scarborough-Guildwood,24,13446940
York Centre,6,13454362
Don Valley West,15,13457871
Beaches-East York,19,13456140
Scarborough Southwest,20,13455280
Etobicoke North,1,13452256
Toronto-St. Paul's,12,13460726
Humber River-Black Creek,7,13449486
Don Valley East,16,13450150
Humber River-Black Creek,7,13454642
Humber River-Black Creek,7,13448828
Etobicoke Centre,2,13465650
Scarborough Southwest,20,13452647
Etobicoke Centre,2,13469015
University-Rosedale,11,13462445
York South-Weston,5,13463578
Willowdale,18,13445380
Scarborough-Rouge Park,25,13444896
York South-Weston,5,13461812
Scarborough-Rouge Park,25,14249637
Don Valley East,16,13449504
Beaches-East York,19,13458348
Don Valley West,15,13456216
Scarborough North,23,13442611
Scarborough-Rouge Park,25,13446613
Etobicoke Centre,2,20089355
York Centre,6,13448651
Scarborough North,23,13443127
Beaches-East York,19,13456270
Etobicoke-Lakeshore,3,13470159
York South-Weston,5,13458880
Toronto Centre,13,13463124
Toronto-Danforth,14,13461456
Willowdale,18,30104484
York Centre,6,13454780
Beaches-East York,19,13457716
Scarborough Southwest,20,13457716
Scarborough-Rouge Park,25,13442254
Beaches-East York,19,13461408
Scarborough-Agincourt,22,13442363
Etobicoke-Lakeshore,3,13468683
Etobicoke North,1,13454046
York Centre,6,13448492
Toronto-Danforth,14,13466520
Humber River-Black Creek,7,13450946
Etobicoke Centre,2,13465631
Toronto-Danforth,14,13462887
Scarborough-Guildwood,24,13448888
Scarborough-Guildwood,24,20105765
Beaches-East York,19,13455637
Etobicoke Centre,2,13464798
Beaches-East York,19,13457210
Toronto Centre,13,13463868
Toronto-Danforth,14,13466690
Don Valley North,17,13443349
Beaches-East York,19,13463058
Beaches-East York,19,13459424
Toronto-Danforth,14,13459424
Scarborough Southwest,20,13454133
Etobicoke North,1,13452729
Scarborough Southwest,20,13454439
Etobicoke-Lakeshore,3,13468811
Scarborough Southwest,20,13457129
Scarborough-Agincourt,22,13442052
Toronto-Danforth,14,13459268
Humber River-Black Creek,7,13451446
Scarborough-Rouge Park,25,13446558
Beaches-East York,19,13463293
Scarborough North,23,13442555
Scarborough-Agincourt,22,13442555
Beaches-East York,19,13456343
Scarborough Southwest,20,13455709
Scarborough North,23,13444135
Scarborough Southwest,20,13455525
Etobicoke North,1,13458771
Scarborough-Rouge Park,25,13442803
Scarborough Southwest,20,13453057
Scarborough Centre,21,13451001
Etobicoke-Lakeshore,3,13469683
Toronto-Danforth,14,13463743
Scarborough Southwest,20,13453501
Beaches-East York,19,13462329
Scarborough Southwest,20,13456233
Etobicoke-Lakeshore,3,13469669
Scarborough Southwest,20,13458057
Etobicoke Centre,2,13466153
Don Valley East,16,13452422
Willowdale,18,13447772
Scarborough North,23,13443713
Scarborough-Rouge Park,25,30022876
Toronto-Danforth,14,13459803
Scarborough Southwest,20,13454823
Scarborough-Rouge Park,25,13442070
Beaches-East York,19,13458442
Scarborough Southwest,20,13458442
Etobicoke-Lakeshore,3,13469793
York South-Weston,5,13461926
Toronto Centre,13,13465975
Etobicoke-Lakeshore,3,13469555
Etobicoke-Lakeshore,3,13470303
Etobicoke-Lakeshore,3,13470022
York Centre,6,13451804
Willowdale,18,13446992
York Centre,6,13450103
Don Valley East,16,13455900
Eglinton-Lawrence,8,14046422
York Centre,6,13453454
Scarborough Centre,21,13447184
Etobicoke Centre,2,13459503
Etobicoke-Lakeshore,3,13470172
Etobicoke-Lakeshore,3,13466745
Willowdale,18,13446163
Toronto-Danforth,14,13461716
Scarborough-Rouge Park,25,13444364
Scarborough Centre,21,13449827
Beaches-East York,19,13458464
Etobicoke Centre,2,13464929
Don Valley East,16,13453655
Etobicoke-Lakeshore,3,13470396
Spadina-Fort York,10,13467197
Etobicoke Centre,2,13467434
Scarborough Southwest,20,13457566
Humber River-Black Creek,7,13451938
Willowdale,18,13446622
Don Valley West,15,13454006
Scarborough-Rouge Park,25,13444589
Scarborough Southwest,20,13453065
Etobicoke Centre,2,13468845
Willowdale,18,13444789
University-Rosedale,11,13463075
Spadina-Fort York,10,13467485
Scarborough Southwest,20,13456203
Parkdale-High Park,4,13464977
Scarborough-Guildwood,24,13447347
York South-Weston,5,13461381
Scarborough-Guildwood,24,13447832
Scarborough Centre,21,13448712
Don Valley East,16,13448712
Scarborough Southwest,20,13456092
Toronto Centre,13,13463693
Scarborough Centre,21,13449481
Toronto-St. Paul's,12,13460447
Scarborough Southwest,20,13456383
Scarborough Centre,21,13448268
York Centre,6,13445937
Humber River-Black Creek,7,13447836
Scarborough Southwest,20,13453279
Scarborough-Guildwood,24,13449721
Scarborough Centre,21,13449721
Spadina-Fort York,10,30109241
Eglinton-Lawrence,8,13454632
Etobicoke Centre,2,13463038
Humber River-Black Creek,7,13450308
York Centre,6,13450308
Parkdale-High Park,4,13465288
Humber River-Black Creek,7,13451567
University-Rosedale,11,13461553
Eglinton-Lawrence,8,13454073
Etobicoke-Lakeshore,3,13470070
Eglinton-Lawrence,8,13459219
Etobicoke Centre,2,13460071
Eglinton-Lawrence,8,13456161
Don Valley West,15,13449989
Eglinton-Lawrence,8,13455397
Willowdale,18,13448857
Etobicoke North,1,13453619
York Centre,6,13448129
Humber River-Black Creek,7,13448693
Davenport,9,13461740
Humber River-Black Creek,7,13451124
Scarborough Southwest,20,13453253
Beaches-East York,19,13455374
Scarborough-Agincourt,22,13445649
Scarborough Centre,21,13450460
Davenport,9,13462431
Scarborough-Guildwood,24,13447596
York Centre,6,13448597
Scarborough-Guildwood,24,13449176
Scarborough Centre,21,13449176
Don Valley North,17,13443890
Don Valley North,17,13442850
Etobicoke-Lakeshore,3,13469945
Humber River-Black Creek,7,20015401
Etobicoke-Lakeshore,3,13469029
Scarborough North,23,13444733
Scarborough-Agincourt,22,13444733
Eglinton-Lawrence,8,13452101
Eglinton-Lawrence,8,13455942
Scarborough Southwest,20,13975289
Beaches-East York,19,13463317
Toronto-Danforth,14,13463317
Scarborough North,23,13444522
Scarborough-Rouge Park,25,13448171
Scarborough-Guildwood,24,13448171
Etobicoke Centre,2,13462889
Scarborough Southwest,20,13458644
Etobicoke-Lakeshore,3,13468457
Etobicoke Centre,2,13468457
Etobicoke-Lakeshore,3,13468841
Don Valley North,17,13443611
Scarborough North,23,13442290
Willowdale,18,13448115
Humber River-Black Creek,7,20164824
Scarborough Southwest,20,13457615
Etobicoke Centre,2,13467838
Don Valley West,15,13454004
Parkdale-High Park,4,13468159
Scarborough Southwest,20,13457695
Scarborough-Rouge Park,25,13443108
Scarborough North,23,13443108
Scarborough-Guildwood,24,13449390
Scarborough Centre,21,13449390
Toronto-St. Paul's,12,13460848
York South-Weston,5,13462178
Scarborough Southwest,20,13457616
Scarborough North,23,13442336
Scarborough Centre,21,13448727
Toronto-St. Paul's,12,13460575
Davenport,9,13460575
Etobicoke-Lakeshore,3,13469764
Beaches-East York,19,13463187
Etobicoke North,1,13455529
York South-Weston,5,13457352
Scarborough Southwest,20,13457926
York South-Weston,5,13458400
Davenport,9,13462333
Scarborough-Guildwood,24,13450508
Scarborough Centre,21,13450508
York Centre,6,13451959
Don Valley West,15,13457987
Eglinton-Lawrence,8,13456247
Toronto Centre,13,13463777
Scarborough-Guildwood,24,13448608
Toronto Centre,13,13464719
Beaches-East York,19,13461380
Toronto-Danforth,14,13461380
Etobicoke North,1,13452527
Scarborough-Agincourt,22,13442499
Eglinton-Lawrence,8,13456552
Spadina-Fort York,10,13468912
Etobicoke-Lakeshore,3,13468844
Toronto-St. Paul's,12,30072982
Davenport,9,30072982
Scarborough Southwest,20,13461226
York South-Weston,5,13463416
Etobicoke Centre,2,13463615
Don Valley West,15,13456999
Etobicoke Centre,2,13464902
Don Valley North,17,13445034
Scarborough Centre,21,13450857
Don Valley East,16,13450857
Scarborough Centre,21,13452253
Etobicoke Centre,2,13459782
Toronto-St. Paul's,12,13459465
Humber River-Black Creek,7,13449758
Etobicoke Centre,2,13462634
Scarborough Southwest,20,13456004
Scarborough Southwest,20,13459341
Etobicoke North,1,13457805
Beaches-East York,19,13463152
Parkdale-High Park,4,13466640
Eglinton-Lawrence,8,13455194
York Centre,6,13451209
Scarborough Centre,21,13450756
Willowdale,18,13445655
Etobicoke-Lakeshore,3,13470586
Scarborough-Rouge Park,25,13442496
Beaches-East York,19,13455247
Scarborough Southwest,20,13455247
Beaches-East York,19,13462263
Willowdale,18,13447143
Scarborough-Rouge Park,25,14248133
Scarborough Centre,21,13449405
Willowdale,18,13445267
University-Rosedale,11,13463865
Scarborough-Agincourt,22,13444980
Parkdale-High Park,4,13468080
Beaches-East York,19,13461623
Toronto-Danforth,14,13461623
Beaches-East York,19,13459651
Scarborough Southwest,20,13459651
York Centre,6,13449369
York Centre,6,13446703
Scarborough Centre,21,13452245
Don Valley East,16,13452245
Scarborough North,23,13444964
Scarborough-Agincourt,22,13444964
Beaches-East York,19,13460937
Don Valley West,15,13454113
Don Valley West,15,13449082
Parkdale-High Park,4,13465050
Scarborough Centre,21,13450349
Don Valley West,15,13450273
Scarborough-Guildwood,24,13447928
Don Valley North,17,13443773
Etobicoke-Lakeshore,3,13469592
Scarborough-Guildwood,24,13448088
Scarborough-Rouge Park,25,13446432
Beaches-East York,19,13462824
Don Valley West,15,13451853
Scarborough-Agincourt,22,13445430
Don Valley North,17,13445430
Don Valley West,15,13453881
York South-Weston,5,13461967
Humber River-Black Creek,7,13449110
Etobicoke Centre,2,13464097
Scarborough Southwest,20,13460704
Don Valley East,16,13452485
Toronto-Danforth,14,13463166
Toronto-Danforth,14,13463573
Etobicoke North,1,13457727
Etobicoke-Lakeshore,3,13469442
Willowdale,18,13444596
Scarborough Southwest,20,13455590
Etobicoke North,1,13454299
Etobicoke Centre,2,13465103
Etobicoke Centre,2,20110447
Etobicoke-Lakeshore,3,13468572
Don Valley East,16,13451476
Willowdale,18,13445078
Don Valley North,17,13445078
Scarborough Southwest,20,13454396
Toronto Centre,13,13464042
Etobicoke Centre,2,13466259
Etobicoke North,1,30032676
Don Valley East,16,13456157
Humber River-Black Creek,7,13450486
Willowdale,18,13446380
Parkdale-High Park,4,13468518
University-Rosedale,11,13465254
Davenport,9,13465254
Etobicoke Centre,2,13458547
York Centre,6,13446259
Etobicoke North,1,13455516
Scarborough-Agincourt,22,13445883
University-Rosedale,11,13465361
Don Valley West,15,13448649
Etobicoke North,1,13456080
Scarborough North,23,13445947
Scarborough-Agincourt,22,13445947
Etobicoke Centre,2,13460834
Etobicoke North,1,13453941
Don Valley West,15,13450773
Toronto-Danforth,14,13459914
University-Rosedale,11,13464157
Scarborough Southwest,20,13459016
York South-Weston,5,13460422
